epoch,train_loss,train_acc,V_Acc,V_Auc,V_EER,F_Acc,F_Auc,F_EER
1, 0.8993, 84.72, 79.88, 0.8957,1 8.81, 79.88, 0.8957, 18.81
2, 0.7096, 88.97, 86.78, 0.9328, 14.67, 86.78, 0.9328, 14.67
3, 0.6512, 91.25, 82.81, 0.9449, 13.04, 82.81, 0.9449, 13.04
4, 0.6192, 91.56, 88.99, 0.9508, 12.17, 88.99, 0.9508, 12.17
5, 0.5976, 92.78, 88.62, 0.9545, 11.42, 88.62, 0.9545, 11.42
6, 0.5677, 93.38, 88.07, 0.9588, 10.77, 88.07, 0.9588, 10.77
7, 0.5571, 94.50, 85.75, 0.958, 11.28, 85.75, 0.958, 11.28
8, 0.5495, 93.69, 86.62, 0.9608, 11.13, 86.62, 0.9608, 11.13
9, 0.5457, 94.34, 88.14, 0.9634, 10.57, 88.14, 0.9634, 10.57
10, 0.5389, 94.34, 88.42, 0.9661, 9.87, 88.42, 0.9661, 9.87
11, 0.5269, 94.9, 88.40, 0.9663, 10.05, 88.40, 0.9663, 10.05
12, 0.5234, 94.50, 88.07, 0.9629, 10.45, 88.07, 0.9629, 10.45
13, 0.5195, 95.12, 90.81, 0.9657, 10.05, 90.81, 0.9657, 10.05
14, 0.5215, 95.50, 89.96, 0.9654, 10.25, 89.96, 0.9654, 10.25
15, 0.5192, 94.97, 89.84, 0.9636, 10.34, 89.84, 0.9636, 10.34
16, 0.5109, 95.88, 90.32, 0.9642, 10.34, 90.32, 0.9642, 10.34
17, 0.5102, 95.44, 90.69, 0.9653, 10.25, 90.69, 0.9653, 10.25
18, 0.5093, 95.59, 89.24, 0.9634, 10.65, 89.24, 0.9634, 10.65
19, 0.5054, 95.75, 90.09, 0.9633, 10.49, 90.09, 0.9633, 10.49
20, 0.5077, 95.50, 90.23, 0.9651, 10.21, 90.23, 0.9651, 10.21


